text,label
ह म फलपकरट वरन ऑरडर कल हत अकर वजत आल हत सकळच तवहपसन रतर सत परयत फकत मधय अरध तस बरक घऊन एक दवसत कमपलट कल हत,0
यपकष सतरजय उचलन ३ पढय भकल लगलल करयकरत अश बतम चलव,1
सहब एक सगल क एस ट वलयच तकद नह क सरकर नगरगटट आह,1
य चमन चगय मग बल लवव लगण तवह सधरण ह चपल चर,1
शवसन जपरयत जत नह तपरयत वकस हण नह,0
रडचय असल नसल उदयग करयच सगतल कण तल पण रहत जन आह आपल त तर उतकषट फलदज आहच पण त हडसम अजबत नहस हच सदध कलस त आज असल चळ करन,1
अभनदन आणण सरथ अभमन आह,0
जस सनम मधल सनक आण समवरच सनक यमध फरक असत तसच फरक हर मधय असत ह कध समजणर तमहल त नट महणन चगल असशल पण मणस महणन भकरचट आहस,1
झलल गषट चकच आह तयत वद नह फकत अपमन वहव अस हत नवहत इतकच,0
तझय आईल पण असच बलतस क र लवरस,1
हच कय त जञन ज सघ दत परय असल तर महणन म तझय बदधल लगलय गज परय PSअसलय गषटवर वशवस ठवत बपर तझय महतसठ आमह सनतनयन गटवरनच हसकवन बहरच वट दखवत Bad Vibes यतत तयचयमळ,1
परमशवर आवज परमशवरन परत घतल,0
चतमरचय कनवरटड लवडयचय परळकर तमचय धरमत सतर शदधकरणचय नवखल कय करतत ह जगजहर आह मदरचद दरवळ हद धरमचय नवन वकयल त कय तमचय सतर बपचय मलकच नह सहब कय महणन य तदळ मगयल मलखत दययल जत,1
इथ नगरसकट बल लगतत,0
Aurangabad Jobs सकल डवहलपमट करस करयचय वदयपठचय कदरतन आजवर 200 वदयरथयन रजगर BAMU Skilldevlopment,0
गधनगर गजरत जयन मबई अस वटत हत तयन परत झप कढ आण भजपचय गजरत पतपरधनल धनयवद दय,0
आज सनवल फकत कगनच घर पडत नह आहत तर तयचय अहकर मजरडय मबई महनगरपलकचय सततच बरज त सवतच जमनदसत करत आहत आल र आल आत सनच बर आल,1
आजवर कषटकऱयच वट जवढ पच वरषत बदलणऱय सरकर पहणयन लवल आह तवढच य सघटनन लवल आह फकत गड गड बलयच आण कषटकर कमगरचय पठत खजर खपसयच अस अफजल वड गलय 50 वरषत रजकरण कललयन उचलल हत आण तयन सथ महणन कय13,0
शवसन पररत नव बडक कबडचर चय सबत आज वघ कस कय गल दरज,1
फकत करनवर औषध यऊ दय लक डकटरचय गडवर लथ मरन दवच आभर मनतल यत जसत शकलल यडझव पढ असतल,1
वघच औलद त कतरयसरख भक नकस अर सगन गल भमरव मझ मल तर कण समर झक नकस,0
दवचय नववर पण खटपण करणर ह अश थतड भकतच सग आणणर मकड,1
वढदवसचय हरदक शभचछ,0
लयटगमळ वय परदषण हत लयटगल ज इलकटरसट लगत त नरमण करणयसठ कळस लगतचदरपरल जऊन पह कत वय परदषण आह,0
आयसस महल वशवचषक करकट सपरधसठ मतल रजचय नततवखलल भरतय सघ जहर,0
हद सनम फकत बघयच चकतस नह बनडक पण असत,1
Religion within homes thresholds n 0 on public open pacescreating public nuisanceन मजसनमननय नययलयन मशदवरल करणकरकशय भगय सदरभतह दलल आदश सवतहन पळल जत नह यल कय महणवरषटरय करतवय,0
जलह परषद नगर पलक आण पचयत समत नवडणकत वजय सरव उमदवरच मज मखयमतर आण वधनसभतल वरध पकषनत दवदर फडणवस यन अभनदन कल आह,0
महवकस आघड चय घटन बहय कमन चप सरकरचय मनमन करभरचय नरणयल चप MVA,0
शतकऱयचय वजबलच परशन मठ आह महमर नसरगक आपतत अश समसयन आज शतकर तड दत आह सरवसमनय शतकऱयवर पडललय वजबलच बज सरकरन कम करव FarmersOfMaharashtra,0
जनतश नळ जडलल यव नततवअभनव पदधतन उपकरम रबवणयच करयशल परभवपण वषयच मडण करणयच कशलय दद अस जनमनसत ओळख असणर नततव आगम कळत यववरगचय ववध समसय सडवणयसठ परयतनशल रहणयच तयच मनस रहणर आह,0
लळपस शवट,1
लळपस आहत त जतवद घडवन आणयल मजन घतत त तयन कय तयच बतम वकर झलयश मतलब,1
कय कत कल शरट कढन नचत हत त क,0
अभलडन शमनय,1
नगड करन हन य सलवरकनय डड आखय भडवय ल,1
